,Timestamp,spot_close,perp_close,funding_rate,funding_markPrice,funding_annualized,prompt_close,prompt_contract,prompt_days_till_expiry,next_close,next_contract,next_days_till_expiry,perpetual_initial,perpetual_maint,perpetual_liquidation_fee,prompt_initial,prompt_maint,prompt_liquidation_fee,next_initial,next_maint,next_liquidation_fee
0,2023-06-01,26817.93,26805.3,7.245666666666667e-05,,0.07934005,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
1,2023-06-02,27242.59,27227.8,7.994e-05,,0.0875343,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
2,2023-06-03,27069.22,27054.9,7.662e-05,,0.0838989,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
3,2023-06-04,27115.21,27102.4,8.283333333333335e-05,,0.0907025,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
4,2023-06-05,25728.2,25714.7,9.131333333333332e-05,,0.0999880999999999,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
5,2023-06-06,27230.08,27221.5,-1.972e-05,,-0.0215934,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
6,2023-06-07,26339.34,26325.9,8.001666666666667e-05,,0.08761825,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
7,2023-06-08,26498.61,26485.9,4.201666666666667e-05,,0.04600825,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
8,2023-06-09,26477.81,26468.1,6.302666666666667e-05,,0.0690142,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
9,2023-06-10,25841.21,25826.6,4.9909999999999995e-05,,0.0546514499999999,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
10,2023-06-11,25925.55,25909.9,4.5239999999999994e-05,,0.0495377999999999,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
11,2023-06-12,25905.19,25894.8,5.116333333333333e-05,,0.05602385,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
12,2023-06-13,25934.25,25918.0,7.561e-05,,0.08279295,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
13,2023-06-14,25128.6,25115.9,2.9383333333333337e-05,,0.03217475,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
14,2023-06-15,25598.49,25586.1,3.205e-05,,0.03509475,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
15,2023-06-16,26345.0,26336.0,1.6626666666666664e-05,,0.0182062,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
16,2023-06-17,26516.99,26508.9,9.137e-05,,0.10005015,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
17,2023-06-18,26339.97,26329.7,6.214666666666667e-05,,0.0680505999999999,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
18,2023-06-19,26844.35,26828.5,5.709e-05,,0.06251355,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
19,2023-06-20,28307.99,28290.6,4.35e-06,,0.00476325,,,,,,,5.0,2.5,0.0125,5.0,2.5,0.01,5.0,2.5,0.01
